,type,action,event_time,session_id,membership_role,membership_type,event__id,event__type,event__actor_type,event__action,event__object_type,event__object_name,event__object_extensions_asset_type,event__object_extensions_http_method,event__eventTime,event__edApp_type,event__session_type,object_id_type,event__object_id_type,event__attachment_type,object_id,event__object_extensions_asset_name,actor_id
587,NavigationEvent,navigatedto,2033-01-11 17:54:12.288000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,1b065331db9c870cc7024fa4f8f6a3b6,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-11 17:54:12.288000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
588,NavigationEvent,navigatedto,2033-01-11 17:54:12.372000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,18f10ceaf9e40af90be99e7416eaa30e,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-11 17:54:12.372000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
589,NavigationEvent,navigatedto,2033-01-11 17:54:12.327000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,c521212a027dc511bbf1adf8cffaae95,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-11 17:54:12.327000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
590,NavigationEvent,navigatedto,2033-01-11 17:54:12.321000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,17240d8935e362942b617da51c64521a,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-11 17:54:12.321000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
591,NavigationEvent,navigatedto,2033-01-17 10:43:12.374000+00:00,6d5852a6c69a6a583d4f67029a2ffe31,"[""Learner""]",Membership,7ae77bcbb168995b707626b404c98c0c,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-17 10:43:12.374000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
592,NavigationEvent,navigatedto,2033-01-12 08:58:14.618000+00:00,7c66665e20976f0141f80899d592acb0,"[""Learner""]",Membership,07a5ceb0dc99229631d2b5e9c3c7dc78,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-12 08:58:14.618000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
593,NavigationEvent,navigatedto,2033-01-18 09:44:09.646000+00:00,6d5852a6c69a6a583d4f67029a2ffe31,"[""Learner""]",Membership,9059423a4f77fd9308af4a0f83722ee0,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-18 09:44:09.646000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
594,NavigationEvent,navigatedto,2033-01-16 04:35:17.522000+00:00,6d5852a6c69a6a583d4f67029a2ffe31,"[""Learner""]",Membership,65c0bd1f5ec51d9f24515c2088570349,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-16 04:35:17.522000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
595,NavigationEvent,navigatedto,2033-01-16 04:35:35.935000+00:00,6d5852a6c69a6a583d4f67029a2ffe31,"[""Learner""]",Membership,47fa0985d7123e24c70841777cb7ee42,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-16 04:35:35.935000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
596,NavigationEvent,navigatedto,2033-01-21 09:11:30.955000+00:00,374e571f58a1df4176c6e103f0d18be4,"[""Learner""]",Membership,8d4b03fade6bb40f316329f37c9e961b,NavigationEvent,Person,NavigatedTo,Thread,,discussion_topic,GET,2033-01-21 09:11:30.955000+00:00,SoftwareApplication,Session,discussion,discussion,,c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,LEARNER_1
